date,value
2022-01-01,105.23
2022-01-02,107.45
2022-01-03,109.12
2022-01-04,111.89
2022-01-05,108.34
2022-01-06,106.78
2022-01-07,104.56
2022-01-08,107.23
2022-01-09,110.45
2022-01-10,113.67
2022-01-11,115.89
2022-01-12,117.23
2022-01-13,114.56
2022-01-14,111.78
2022-01-15,109.34
2022-01-16,112.45
2022-01-17,115.67
2022-01-18,118.89
2022-01-19,120.12
2022-01-20,122.34
2022-01-21,119.56
2022-01-22,116.78
2022-01-23,114.23
2022-01-24,117.45
2022-01-25,120.67
2022-01-26,123.89
2022-01-27,125.12
2022-01-28,127.34
2022-01-29,124.56
2022-01-30,121.78
